episode,steps,total_reward,n_states,epsilon,alpha
419,3742,-138303.19999999995,29722,0.05,0.02
420,3735,-134276.79999999996,29737,0.05,0.02
421,3705,-135458.39999999976,29757,0.05,0.02
422,3702,-134933.20000000042,29767,0.05,0.02
423,3704,-139270.30000000028,29785,0.05,0.02
424,3675,-134058.99999999974,29800,0.05,0.02
425,3697,-134959.20000000036,29809,0.05,0.02
426,3678,-133448.50000000017,29816,0.05,0.02
427,3680,-133410.5999999998,29834,0.05,0.02
428,3706,-135084.40000000034,29851,0.05,0.02
429,3644,-131734.19999999995,29864,0.05,0.02
430,3645,-131790.19999999978,29872,0.05,0.02
431,3698,-134782.3999999997,29883,0.05,0.02
432,3636,-132026.4000000001,29892,0.05,0.02
433,3687,-134038.20000000016,29904,0.05,0.02
434,3690,-133307.2000000001,29922,0.05,0.02
435,3710,-133682.40000000002,29940,0.05,0.02
436,3716,-134746.0,29944,0.05,0.02
437,3684,-134876.79999999996,29960,0.05,0.02
438,3680,-134239.4999999998,29977,0.05,0.02
439,3686,-135243.20000000007,29987,0.05,0.02
440,3681,-133488.00000000032,29997,0.05,0.02
441,3687,-135466.1000000003,30017,0.05,0.02
442,3721,-134273.80000000016,30023,0.05,0.02
443,3682,-133713.2000000002,30034,0.05,0.02
444,3634,-133426.40000000008,30053,0.05,0.02
445,3655,-132282.99999999983,30062,0.05,0.02
446,3761,-139019.20000000054,30084,0.05,0.02
447,3711,-134893.59999999977,30095,0.05,0.02
448,3695,-134608.60000000038,30109,0.05,0.02
449,3735,-136070.60000000012,30128,0.05,0.02
450,3721,-136859.40000000034,30163,0.05,0.02
451,3689,-134681.60000000003,30172,0.05,0.02
452,3681,-136153.6000000003,30182,0.05,0.02
453,3693,-131270.20000000027,30194,0.05,0.02
454,3743,-137957.80000000028,30210,0.05,0.02
455,3719,-135512.39999999988,30226,0.05,0.02
